species_id,recorded_species_name,species_name,taxon,reporting_name,phylum,class_,order,family,genus,common_name,range,frequency,abundance,max_length,common_family_name,common_class_name,common_phylum_name,superseded_ids,superseded_names,geom,mapped_id,mapped_superseded_ids
11,Heterodontus portusjacksoni,Heterodontus portusjacksoni,Heterodontus portusjacksoni,Heterodontus portusjacksoni,Chordata,Elasmobranchii,Heterodontiformes,Heterodontidae,Heterodontus,Port Jackson shark,924.314,12.8889,3.6332,165,bullhead sharks,Cartilaginous fishes,Chordates,,,POINT (0 0),1,
12,Parascyllium ferrugineum,Parascyllium ferrugineum,Parascyllium ferrugineum,Parascyllium ferrugineum,Chordata,Elasmobranchii,Orectolobiformes,Parascylliidae,Parascyllium,Rusty catshark,815.8879,4.5326,1.1507,80,,Cartilaginous fishes,Chordates,,,POINT (0 0),2,
13,Cephaloscyllium laticeps,Cephaloscyllium laticeps,Cephaloscyllium laticeps,Cephaloscyllium laticeps,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Cephaloscyllium,Draughtboard shark,301.2899,21.215,1.2169,150,cat sharks,Cartilaginous fishes,Chordates,,,POINT (0 0),3,
14,Urolophus cruciatus,Urolophus cruciatus,Urolophus cruciatus,Urolophus cruciatus,Chordata,Elasmobranchii,Myliobatiformes,Urolophidae,Urolophus,Banded stingaree,270.248,11.8679,1.371,50,round stingrays,Cartilaginous fishes,Chordates,,,POINT (0 0),4,
15,Myliobatis australis,Myliobatis australis,Myliobatis australis,Myliobatis australis,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,Eagle ray,1123.3762,6.3745,1.7537,120,Eagle rays,Cartilaginous fishes,Chordates,,,POINT (0 0),5,
16,Conger verreauxi,Conger verreauxi,Conger verreauxi,Conger verreauxi,Chordata,Actinopterygii,Anguilliformes,Congridae,Conger,Conger eel,1052.1844,3.2787,1.0222,200,Conger eels,Ray-finned fishes,Chordates,,,POINT (0 0),6,
17,Latropiscis purpurissatus,Latropiscis purpurissatus,Latropiscis purpurissatus,Latropiscis purpurissatus,Chordata,Actinopterygii,Aulopiformes,Aulopidae,Latropiscis,Sergeant baker,1085.4541,16.9635,1.2433,,flagfins,Ray-finned fishes,Chordates,183,Aulopus purpurissatus,POINT (0 0),7,179
18,Lotella rhacina,Lotella rhacina,Lotella rhacina,Lotella rhacina,Chordata,Actinopterygii,Gadiformes,Moridae,Lotella,Beardie,658.9758,17.995,1.5265,50,deep-sea cods,Ray-finned fishes,Chordates,1025,Lotella rhacinus,POINT (0 0),8,1666
19,Pseudophycis bachus,Pseudophycis bachus,Pseudophycis bachus,Pseudophycis bachus,Chordata,Actinopterygii,Gadiformes,Moridae,Pseudophycis,Red cod,229.2027,15.3953,1.2791,90,deep-sea cods,Ray-finned fishes,Chordates,,,POINT (0 0),9,
20,Pseudophycis barbata,Pseudophycis barbata,Pseudophycis barbata,Pseudophycis barbata,Chordata,Actinopterygii,Gadiformes,Moridae,Pseudophycis,Bearded cod,288.3449,10.9865,1.2772,63,deep-sea cods,Ray-finned fishes,Chordates,,,POINT (0 0),10,
